# STEREO Data for run titled "SNR0.6"
#
# Total Number of Trials: 8794.0
# Solved Trials: 1008.0, 16.909914443885253% (of attempted solves), 11.462360700477598% (total)
# Solver Fails: 4887.0, 81.98288877705083% (of attempted solves), 55.5719808960655% (total)
# Timeout Fails: 66.0, 1.1071967790639154% (of attempted solves), 0.7505117125312714% (total)
# Low Star Counts (<4): 2833.0, 32.21514669092563%
# Total Data Collection Time: 0.7213145587077856 hrs
# skip_header = 23
#
# Column Notes
# num: Data Index
# solved: 1 = Success, 0 = Fail, -1 = Undetermined (low star count or timed out)
# alt_error: Error in Altitude (from 45 deg)
# A4_index: Index used for ANITA4 data
# star_ct: Number of Stars in the field
# real_ra: Real RA of the center of the field in degrees
# real_dec: Real DEC of the center of the field in degrees
# ra: Result RA of the center of the field in degrees
# dec: Result DEC of the center of the field in degrees
# solve_time: Total time taken to solve (or fail) in seconds
#
# num     solved     alt_error     A4_index     star_ct     real_ra     real_dec     ra     dec     solve_time     snr     rotation
75     0     -999     21277     5     257.2618221945617     -48.192190511787835     -999     -999     305.08813704364     0.6      0
76     1     -0.0010778486057816394     12775     9     238.19169393336603     -36.22408109128101     238.1901938498058     -36.22508538886461     43.521944899111986     0.6      0
77     0     -999     24369     7     180.4057155387173     -49.9518955452202     -999     -999     0.023456988856196404     0.6      0
78     -1     -999     9049     2     333.9613389360515     -47.87273532659831     -999     -999     -999     0.6      0
79     0     -999     12732     6     260.25061095448933     -39.19925987413757     -999     -999     563.3005199488252     0.6      0
80     0     -999     28051     10     90.19364089971847     -43.320769457428945     -999     -999     521.1436729878187     0.6      0
81     1     0.00025566826416678623     21415     5     91.04453376051836     -40.51431075923964     91.04380211590363     -40.513961688175335     53.80620900541544     0.6      0
82     0     -999     9102     8     144.6636864501429     -40.14317906626213     -999     -999     0.019876984879374504     0.6      0
83     -1     -999     34712     1     327.33622403477267     -46.51741383831773     -999     -999     -999     0.6      0
84     0     -999     37255     4     13.28383609713734     -42.94676085183841     -999     -999     0.0185349490493536     0.6      0
85     1     0.0003624049825248221     4592     12     113.01271046861197     -34.63273699823251     113.01220936645757     -34.63240340612621     147.41318114101887     0.6      0
86     1     0.0003842756943370773     18757     16     123.06430468131957     -37.71975690214195     123.06412432595472     -37.71938606854196     130.62317692674696     0.6      0
87     0     -999     31156     4     157.49711258669083     -49.22740383527269     -999     -999     0.020206207409501076     0.6      0
88     -1     -999     23140     1     50.44193999362664     -39.72603557805016     -999     -999     -999     0.6      0
89     0     -999     10772     4     155.64935003203107     -37.65107181720563     -999     -999     0.025589950382709503     0.6      0
90     0     -999     34338     12     226.4305446896982     -47.802850589796705     -999     -999     185.54528593085706     0.6      0
91     0     -999     13922     6     341.6908938727878     -52.50089836591736     -999     -999     0.016846926882863045     0.6      0
92     -1     -999     31786     3     149.62395704877483     -41.513732897869794     -999     -999     -999     0.6      0
93     0     -999     18673     7     217.20698622945926     -44.14627834440591     -999     -999     32.785043120384216     0.6      0
94     0     -999     29496     4     139.61147648892694     -48.7331544771251     -999     -999     0.03785896115005016     0.6      0
95     -1     -999     1114     2     317.80569842663294     -46.77209468118204     -999     -999     -999     0.6      0
96     1     -0.005265001948650649     17904     6     305.3886131642206     -37.1194878133961     305.3948207297418     -37.12462666876465     849.9644680414349     0.6      0
97     0     -999     21217     7     215.19852934446862     -51.78286938840748     -999     -999     85.25187196210027     0.6      0
98     0     -999     14875     6     84.25221411300882     -46.78726429423736     -999     -999     0.023794127628207207     0.6      0
99     0     -999     14141     6     40.83272199030855     -51.68469315749681     -999     -999     0.01961691305041313     0.6      0
100     0     -999     14073     6     108.57685694555873     -40.92516476067737     -999     -999     632.4765169993043     0.6      0
101     0     -999     13023     5     180.83160001103724     -47.05716236736455     -999     -999     124.60297904908657     0.6      0
102     0     -999     33434     7     344.8654011870728     -49.01808762594137     -999     -999     782.2059011086822     0.6      0
103     -1     -999     20244     2     6.982541652601494     -50.997018544480085     -999     -999     -999     0.6      0
104     -1     -999     21450     2     357.4629051218833     -39.830844268961485     -999     -999     -999     0.6      0
105     -1     -999     30972     3     24.13627622129932     -44.80780411346552     -999     -999     -999     0.6      0
106     1     -0.00023261509990391005     13145     9     112.48753921890366     -53.12007725321781     112.48596988737081     -53.12024813099958     203.71816004626453     0.6      0
107     0     -999     36419     5     161.72322327539223     -42.78879505815145     -999     -999     0.029283110052347183     0.6      0
108     1     -0.001828699821864177     9710     10     279.1191992349763     -39.14337234256339     279.11874708642586     -39.145167429344625     87.00049482285976     0.6      0
109     0     -999     14754     5     208.70181016736737     -48.31809593233865     -999     -999     0.020999927073717117     0.6      0
110     -1     -999     24399     3     154.46037156863218     -49.22990000170473     -999     -999     -999     0.6      0
111     -1     -999     21437     0     65.08309861576437     -37.58767106211367     -999     -999     -999     0.6      0
112     0     -999     11486     5     29.3738802108984     -48.99374495652899     -999     -999     0.030239112675189972     0.6      0
113     0     -999     3817     6     305.15186577290365     -35.87633244595812     -999     -999     0.031071016564965248     0.6      0
114     0     -999     3165     4     208.24283060242115     -38.389309295849614     -999     -999     168.35880698636174     0.6      0
115     -1     -999     34504     2     2.9560743515644177     -41.587634958182434     -999     -999     -999     0.6      0
116     0     -999     13258     9     142.98810339186969     -53.50465862290002     -999     -999     0.04958012141287327     0.6      0
117     0     -999     32986     5     257.592549042413     -48.08841258941532     -999     -999     228.80427888594568     0.6      0
118     0     -999     35530     6     143.8149937883842     -47.233739916695754     -999     -999     0.028239795938134193     0.6      0
119     1     -0.000309162833580956     23291     6     172.13619226366254     -41.96687298836956     172.1352971348065     -41.96710098275249     53.45681379549205     0.6      0
120     0     -999     9198     13     126.49626884653593     -34.71991590197316     -999     -999     929.2366919107735     0.6      0
121     0     -999     14615     7     165.10084983620493     -49.7343511062528     -999     -999     0.03188103437423706     0.6      0
122     0     -999     25766     5     101.37565507764666     -48.61139027610103     -999     -999     0.08195708505809307     0.6      0
123     1     -0.0002898460443319095     17200     16     122.75810687961805     -36.914491265290906     122.75827526904175     -36.914767324432226     41.00865009240806     0.6      0
124     -1     -999     2490     0     12.580660937247158     -36.50498713220146     -999     -999     -999     0.6      0
125     0     -999     9883     5     32.871164362467866     -52.15264209874657     -999     -999     0.0387879554182291     0.6      0
126     0     -999     16669     5     36.80054564540809     -36.40117915107755     -999     -999     73.09474307112396     0.6      0
127     0     -999     34650     5     284.05876907615004     -47.715316565592154     -999     -999     110.48033903352916     0.6      0
128     0     -999     11340     6     228.05290182801483     -35.975670809734666     -999     -999     0.02299598418176174     0.6      0
129     0     -999     12000     10     263.3681255706458     -51.947416560487135     -999     -999     928.7657130043954     0.6      0
130     0     -999     33111     5     43.0386802805545     -41.78744527575667     -999     -999     0.013519078493118286     0.6      0
131     0     -999     27528     5     7.9525111687219     -41.515621036773645     -999     -999     0.015057157725095749     0.6      0
132     -1     -999     15238     2     277.2380464524949     -51.75161319269036     -999     -999     -999     0.6      0
133     0     -999     12164     4     6.358165510196913     -43.671064136617964     -999     -999     0.06115809082984924     0.6      0
134     1     0.0005373430794008982     30376     12     135.34094778606618     -41.02236724636245     135.33975888171622     -41.02188614454985     251.16406404413283     0.6      0
135     -1     -999     1485     0     310.75841535752335     -54.406052985202855     -999     -999     -999     0.6      0
136     0     -999     16197     7     86.64252842993682     -52.60345383292969     -999     -999     0.025233952328562737     0.6      0
137     -1     -999     24698     3     21.263480829147387     -42.70563469716793     -999     -999     -999     0.6      0
138     -1     -999     26577     2     354.87729789843877     -49.811155955205116     -999     -999     -999     0.6      0
139     0     -999     29441     7     151.01048507999081     -47.89954286136091     -999     -999     0.028177164494991302     0.6      0
140     1     0.00037341827492554103     23039     7     98.20567395559985     -41.00999215284877     98.2055762393174     -41.00960872030486     19.546916941180825     0.6      0
141     1     -6.326646262522218e-05     22696     10     142.92457975576284     -52.12779698946513     142.92325858473987     -52.127849855286954     23.41250702738762     0.6      0
142     0     -999     15176     5     337.03179670978994     -43.38603717905187     -999     -999     0.02335687167942524     0.6      0
143     -1     -999     3944     2     183.01584087103967     -53.66330461174995     -999     -999     -999     0.6      0
144     -1     -999     15942     2     170.52215730112528     -40.11452431656752     -999     -999     -999     0.6      0
145     0     -999     12776     5     69.18402114709562     -53.35914482030077     -999     -999     0.020233914256095886     0.6      0
146     0     -999     18901     5     25.241983067306933     -52.982756352202145     -999     -999     0.01815101131796837     0.6      0
147     0     -999     31148     7     136.44581255006955     -48.87442026231891     -999     -999     0.050151022151112556     0.6      0
148     0     -999     18475     9     265.2817691900451     -53.85309073186675     -999     -999     0.02323905937373638     0.6      0
149     0     -999     32022     8     218.26204443232675     -42.07235059672317     -999     -999     0.04503806121647358     0.6      0
150     0     -999     17874     7     269.6944624170558     -38.61007614873389     -999     -999     0.03726081922650337     0.6      0
151     -1     -999     3162     3     203.15715699851748     -37.89102385962397     -999     -999     -999     0.6      0
152     0     -999     20858     5     311.3444500862807     -37.7810073934591     -999     -999     72.05804996192455     0.6      0
153     -1     -999     14067     0     76.03083635302796     -45.57222268022472     -999     -999     -999     0.6      0
154     0     -999     10196     4     32.520115791418064     -40.27048168671628     -999     -999     0.0396540854126215     0.6      0
155     -1     -999     15782     2     194.16427069225176     -36.79381211506894     -999     -999     -999     0.6      0
156     0     -999     26033     4     353.203761177905     -41.8070134833739     -999     -999     0.04417402669787407     0.6      0
157     0     -999     29541     4     305.3996415492938     -41.23105450565876     -999     -999     0.020086998119950294     0.6      0
158     0     -999     30483     4     288.1365509667708     -46.2641813934447     -999     -999     0.028242822736501694     0.6      0
159     0     -999     27514     8     151.03994700520244     -47.49716585415852     -999     -999     44.63700111955404     0.6      0
160     -1     -999     17121     2     37.128912449114665     -47.23942959302361     -999     -999     -999     0.6      0
161     1     -0.00032099509218141975     20899     7     213.9124119659888     -43.18295888734822     213.91155785639978     -43.1834207231329     63.240339048206806     0.6      0
162     0     -999     8328     5     319.1073361851147     -38.54468085133553     -999     -999     36.348524037748575     0.6      0
163     -1     -999     22219     1     51.02114927318279     -51.85728727616703     -999     -999     -999     0.6      0
164     -1     -999     37236     3     67.29968257048873     -44.039085357379726     -999     -999     -999     0.6      0
165     -1     -999     22     3     38.2134144366103     -54.09481958159087     -999     -999     -999     0.6      0
166     0     -999     36976     5     167.88280387387292     -45.414231507165     -999     -999     221.42310300841928     0.6      0
167     0     -999     30908     7     114.21383462123767     -48.8008944407258     -999     -999     0.016652047634124756     0.6      0
168     0     -999     25440     11     237.11795669949524     -40.303074836668166     -999     -999     0.028352951630949974     0.6      0
169     0     -999     16930     4     311.36453332978346     -52.4289042846888     -999     -999     203.86988599784672     0.6      0
170     0     -999     15610     7     190.2614215652705     -39.210185441978986     -999     -999     0.021931948140263557     0.6      0
171     0     -999     34587     5     158.40754523910525     -46.323479500987396     -999     -999     714.1578050795943     0.6      0
172     0     -999     22595     9     115.87469569517728     -51.97593282870389     -999     -999     119.822763139382     0.6      0
173     0     -999     19818     11     208.51484554174536     -53.11908153388698     -999     -999     0.014889054000377655     0.6      0
174     0     -999     17791     11     226.77416976638298     -40.845858054942894     -999     -999     134.67973098158836     0.6      0
175     1     0.00153557524364345     12871     9     107.47967967995338     -51.80068769000275     107.47823696225193     -51.799272223241715     49.37167791649699     0.6      0
176     -1     -999     16312     2     291.3369915529527     -37.344609587783765     -999     -999     -999     0.6      0
177     0     -999     17495     7     84.64649006138943     -51.450800016468655     -999     -999     0.023070955649018288     0.6      0
178     -1     -999     5450     1     164.90997321374846     -54.164987419611585     -999     -999     -999     0.6      0
179     0     -999     28368     6     104.08234485010863     -46.513255343383605     -999     -999     0.028131064027547836     0.6      0
180     1     0.00014589262727326968     1119     11     131.7905149668423     -43.62927055778081     131.79010182410357     -43.62904951403506     427.5208639446646     0.6      0
181     0     -999     20747     7     204.61041774092703     -39.49524137038703     -999     -999     0.017717014998197556     0.6      0
182     -1     -999     34873     3     59.37941050867681     -44.154726714955004     -999     -999     -999     0.6      0
183     -1     -999     23285     1     320.5141014761674     -50.42403437500127     -999     -999     -999     0.6      0
