# STEREO Data for run titled "SNR5"
#
# Total Number of Trials: 2059.0
# Solved Trials: 1008.0, 70.78651685393258% (of attempted solves), 48.95580378824672% (total)
# Solver Fails: 401.0, 28.160112359550563% (of attempted solves), 19.475473530840215% (total)
# Timeout Fails: 15.0, 1.053370786516854% (of attempted solves), 0.7285089849441476% (total)
# Low Star Counts (<4): 635.0, 30.840213695968917%
# Total Data Collection Time: 0.22155958623890507 hrs
# SNR: 5.0
# skip_header = 24.0
#
# Column Notes
# num: Data Index
# solved: 1 = Success, 0 = Fail, -1 = Undetermined (low star count or timed out)
# alt_error: Error in Altitude (from 45 deg)
# A4_index: Index used for ANITA4 data
# star_ct: Number of Stars in the field
# real_ra: Real RA of the center of the field in degrees
# real_dec: Real DEC of the center of the field in degrees
# ra: Result RA of the center of the field in degrees
# dec: Result DEC of the center of the field in degrees
# solve_time: Total time taken to solve (or fail) in seconds
#
# num     solved     alt_error     A4_index     star_ct     real_ra     real_dec     ra     dec     solve_time
167     1     -3.666997064755151e-05     1496     5     54.29909833052255     -49.050724565218324     54.29926761849761     -49.050734894893104     285.24488187395036
168     1     -0.0004616036088194164     13764     7     103.9212984430472     -37.081190849408806     103.92067237766453     -37.08163995571196     394.6617490146309
169     -1     -999     13160     0     335.1436069045338     -37.09446283521633     -999     -999     -999
170     1     -0.00171554199194901     9470     5     288.41843010832343     -51.747153350632985     288.41882478801693     -51.74899156746059     120.2717509586364
171     -1     -999     20977     1     173.580830096957     -51.397819929548355     -999     -999     -999
172     1     -0.00025621811472120726     21237     10     151.043612306102     -53.06937148683933     151.04276787098934     -53.06958258081753     102.17338404618204
173     1     -0.0008603212129614235     26425     6     247.2839110453595     -46.88954824859308     247.2832672939057     -46.890370018887864     32.90733904577792
174     -1     -999     10740     1     334.9563752245102     -52.23826787372204     -999     -999     -999
175     -1     -999     5748     3     248.69736827462953     -52.93362485224425     -999     -999     -999
176     1     -0.0002945270266465627     31005     9     134.67907835257404     -48.883976100867066     134.67800507985365     -48.88427959894506     62.93433299288154
177     1     -0.0011061881290075348     1592     9     228.60679746609856     -38.401848655441846     228.60581890413656     -38.402836440473685     80.02299093641341
178     0     -999     4279     5     256.98642834368775     -54.457933150909554     -999     -999     1538.4429940022528
179     -1     -999     4662     2     3.5481218884265764     -53.90316586858821     -999     -999     -999
180     1     -0.0015089688518301614     2936     5     181.50403002146513     -41.396832299624755     181.50309296933693     -41.39823012914234     405.99790099076927
181     1     -0.000972092444222028     30074     9     214.1341834356238     -46.82161411209954     214.1336118602279     -46.82256022999351     131.30928413011134
182     0     -999     30608     4     196.65851336867885     -40.38293016427592     -999     -999     333.4036050364375
183     -1     -999     8692     3     314.74545690031096     -35.140494647912504     -999     -999     -999
184     1     -0.000860889756459926     35516     6     286.0688780112261     -42.561984257304246     286.0690116551472     -42.56284445096195     279.95929797179997
185     0     -999     27596     4     287.214120503945     -46.40972672851768     -999     -999     225.3671931102872
186     1     -0.0003971582230590798     5394     8     249.4289731290291     -38.61209349725508     249.42827409466338     -38.612607121565716     37.65324200503528
187     -1     -999     31900     1     73.55847160257564     -44.5546483964695     -999     -999     -999
188     1     -0.0004112635328539227     29426     7     228.4783112695834     -43.07026875097152     228.47795549357386     -43.0707017136724     155.1334799733013
189     0     -999     14412     4     207.4245237517556     -39.06715566409725     -999     -999     221.01434296928346
190     1     -2.1959517475522716e-05     33884     5     55.70723929602908     -48.61003043927005     55.70719567784752     -48.61005188251585     227.9955130070448
191     1     -0.0007332322907913635     25135     7     220.78876243836686     -41.180999469478714     220.78755465794112     -41.181646982369884     184.62605704553425
192     1     -0.002305116848930311     14160     6     257.85075444494834     -43.25689089439099     257.85069188692626     -43.259233591460955     200.39454684592783
193     0     -999     18640     4     284.72805914021296     -53.003364055517174     -999     -999     216.25815914012492
194     1     -9.968581984765024e-06     20969     7     84.62919438850273     -52.57256716751161     84.62798869960888     -52.57247576001266     72.87290901876986
195     1     -0.000587943352819309     24525     9     281.19386108416614     -47.14814044086826     281.1938165281145     -47.148734691143595     101.87676711939275
196     -1     -999     30044     3     57.10079955881654     -41.974039042920076     -999     -999     -999
197     -1     -999     20288     1     312.4089351266426     -54.07128241190305     -999     -999     -999
198     -1     -999     11650     1     353.780994793182     -38.1235964292072     -999     -999     -999
199     1     -0.000556339695563679     35443     8     149.24314936478038     -46.156928636062965     149.24280874720102     -46.15749938702973     93.65032007917762
