# STEREO Data for run titled "SNR1"
#
# Total Number of Trials: 3304.0
# Solved Trials: 1008.0, 46.25975217989904% (of attempted solves), 30.508474576271187% (total)
# Solver Fails: 1150.0, 52.77650298301973% (of attempted solves), 34.80629539951574% (total)
# Timeout Fails: 21.0, 0.9637448370812299% (of attempted solves), 0.635593220338983% (total)
# Low Star Counts (<4): 1125.0, 34.049636803874094%
# Total Data Collection Time: 0.2884247080047175 hrs
# skip_header = 23
#
# Column Notes
# num: Data Index
# solved: 1 = Success, 0 = Fail, -1 = Undetermined (low star count or timed out)
# alt_error: Error in Altitude (from 45 deg)
# A4_index: Index used for ANITA4 data
# star_ct: Number of Stars in the field
# real_ra: Real RA of the center of the field in degrees
# real_dec: Real DEC of the center of the field in degrees
# ra: Result RA of the center of the field in degrees
# dec: Result DEC of the center of the field in degrees
# solve_time: Total time taken to solve (or fail) in seconds
#
# num     solved     alt_error     A4_index     star_ct     real_ra     real_dec     ra     dec     solve_time     snr     rotation
47     0     -999     31552     4     18.620640132681103     -43.10937388840267     -999     -999     0.02140807919204235     1.0      0
48     1     -0.0005841893530345033     18375     10     202.1221754923882     -51.62097323831992     202.12146098338457     -51.62149729978677     241.20700382627547     1.0      0
49     -1     -999     21223     1     339.84429665812775     -36.42353879480699     -999     -999     -999     1.0      0
50     1     -0.000890568032090755     22772     6     247.92330350621654     -46.25683111269312     247.92201887172826     -46.2578895794706     24.281526915729046     1.0      0
51     1     -0.00048740246143097465     20508     6     281.19934379931016     -45.718989855328935     281.199178511795     -45.71946339359273     103.45926997251809     1.0      0
52     0     -999     5030     5     174.05219293571525     -37.90926088340121     -999     -999     1262.4103019479662     1.0      0
53     -1     -999     9850     3     43.78388351373088     -54.242009871803404     -999     -999     -999     1.0      0
54     -1     -999     25165     2     70.50195460484336     -47.16939440818226     -999     -999     -999     1.0      0
55     -1     -999     4360     2     34.736123950059856     -37.9759308826272     -999     -999     -999     1.0      0
56     -1     -999     17516     0     49.17120966973045     -53.97245334860484     -999     -999     -999     1.0      0
57     0     -999     36603     7     218.8069644996935     -42.44759914394619     -999     -999     0.902057159692049     1.0      0
58     -1     -999     11686     2     69.3612230394537     -47.70990885602908     -999     -999     -999     1.0      0
59     -1     -999     16600     0     31.615186489474997     -36.57642557864545     -999     -999     -999     1.0      0
60     0     -999     15057     8     263.2193049190833     -49.35373145894176     -999     -999     1154.8593889456242     1.0      0
61     0     -999     29081     5     264.96758596891647     -46.9373935802179     -999     -999     208.59897695481777     1.0      0
62     0     -999     35393     7     103.15330933914505     -47.3119453933009     -999     -999     644.5226629730314     1.0      0
63     -1     -999     25643     2     36.785296527761176     -46.285341154473784     -999     -999     -999     1.0      0
64     1     4.832828664547151e-05     33566     11     118.34267132963592     -43.23709208509127     118.34240765991878     -43.237062851691924     141.42850087955594     1.0      0
65     0     -999     18260     4     191.08151060064566     -52.78001443953086     -999     -999     0.036735087633132935     1.0      0
66     0     -999     18185     4     37.113803214134144     -36.86759865281254     -999     -999     961.8742140009999     1.0      0
67     0     -999     24334     14     125.12479035206205     -48.59764792191791     -999     -999     0.021036015823483467     1.0      0
68     -1     -999     26176     3     302.76064271674437     -46.95969540627874     -999     -999     -999     1.0      0
69     1     0.0017608499645547226     32185     8     105.21139756776924     -46.101575098084076     105.2112754344305     -46.09981445274512     32.40125300362706     1.0      0
70     0     -999     8941     5     74.07686484471269     -34.72166938097934     -999     -999     38.80764311179519     1.0      0
71     1     0.0004997693021735472     29720     6     318.021757697479     -42.28566863032278     318.0224846882417     -42.28513021975645     135.43087895959616     1.0      0
72     -1     -999     18852     2     96.17570566337798     -43.96108138507196     -999     -999     -999     1.0      0
73     1     -0.0004071796287590246     21656     15     125.43239400879999     -38.730900697328146     125.4318713455758     -38.731263435472044     36.19080316275358     1.0      0
74     -1     -999     5438     3     345.860096501505     -36.930886187818714     -999     -999     -999     1.0      0
75     -1     -999     2161     2     16.595635812803184     -42.17756519271698     -999     -999     -999     1.0      0
76     1     -0.00096320207968148     27867     8     214.14320756332387     -45.727755521606724     214.14300657206806     -45.728710710840105     49.10878115333617     1.0      0
77     -1     -999     30444     2     36.95082787410117     -49.03020140402897     -999     -999     -999     1.0      0
78     0     -999     33443     9     102.5540496120761     -42.81562698102604     -999     -999     41.66938504204154     1.0      0
79     -1     -999     15847     2     59.043314002987934     -51.825482655108424     -999     -999     -999     1.0      0
80     1     5.266207587339977e-06     4766     7     258.75186497838524     -46.986933383091454     258.7543895114179     -46.98741654310944     470.865213079378     1.0      0
81     0     -999     13830     10     107.5773837441196     -37.033524253919346     -999     -999     954.5942931436002     1.0      0
82     -1     -999     35099     3     30.922434725967772     -48.48270096566659     -999     -999     -999     1.0      0
83     1     0.0005743345715245596     14955     6     27.03455990895693     -38.21502659802212     27.0356605503391     -38.21451874636608     107.86291304975748     1.0      0
84     -1     -999     11150     0     47.66795941366875     -53.85760104740542     -999     -999     -999     1.0      0
85     1     0.0013043775758418974     2779     11     120.64933509227417     -37.91933962489851     120.64900588852908     -37.91799260344447     206.98414603248239     1.0      0
86     -1     -999     22243     3     321.9869249809927     -46.57605254290624     -999     -999     -999     1.0      0
87     0     -999     795     8     201.5745482776636     -52.9529349123821     -999     -999     0.05226000212132931     1.0      0
88     -1     -999     2308     2     0.8726544839077085     -36.64296228856848     -999     -999     -999     1.0      0
89     1     -0.0014254521496965822     33766     9     292.1921975449364     -43.88119783164977     292.1916714165447     -43.882592240402495     59.38637303188443     1.0      0
90     -1     -999     3384     2     64.5926383977771     -53.13582320920993     -999     -999     -999     1.0      0
91     -1     -999     17044     3     134.65959782637412     -36.03225821989642     -999     -999     -999     1.0      0
92     0     -999     2315     8     261.2913794251183     -44.113879382719404     -999     -999     0.017056940123438835     1.0      0
93     -1     -999     30448     1     78.44384525236103     -46.243653706775454     -999     -999     -999     1.0      0
94     0     -999     24013     7     223.21529835054127     -41.83496301412213     -999     -999     149.24482605420053     1.0      0
95     1     -0.0001406281311346902     12203     12     130.92534974430833     -38.361112789089226     130.92403690960904     -38.36111603370927     153.33076380193233     1.0      0
